gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,
0.037173,0.241287,-0.941403,0.046786,0.046713,-1.022328,0.016419,0.086858,-0.313557,0.269975,-1.239883,-0.912836,,,,,,,,,,
0.030947,0.211988,-0.929561,0.047513,0.070897,-0.985607,0.023256,0.086858,-0.313557,0.269975,-1.239883,-0.912836,,,,,,,,,,
0.001892,0.265824,-0.882317,0.046176,0.096124,-0.945108,0.001892,0.086858,-0.313557,0.269975,-1.239883,-0.882317,,,,,,,,,,
-0.003723,0.326009,-0.855826,0.044027,0.125954,-0.896905,-0.003723,0.086858,-0.289874,0.326009,-1.239883,-0.855826,,,,,,,,,,
-0.005066,0.355551,-0.850455,0.041238,0.155436,-0.847952,-0.005066,0.086858,-0.222609,0.355551,-1.214369,-0.850455,,,,,,,,,,
-0.002503,0.358237,-0.860953,0.037954,0.181194,-0.804523,-0.005066,0.086858,-0.136422,0.358237,-1.152963,-0.850455,,,,,,,,,,
0.006287,0.336874,-0.878899,0.03539,0.202295,-0.769719,-0.005066,0.086858,-0.090399,0.358237,-1.11048,-0.850455,,,,,,,,,,
-0.002136,0.34432,-0.870353,0.032686,0.221327,-0.73868,-0.005066,0.086858,-0.073552,0.358237,-1.096075,-0.850455,,,,,,,,,,
-0.017884,0.373985,-0.838979,0.029122,0.240139,-0.707013,-0.017884,0.086858,-0.010438,0.373985,-1.063114,-0.838979,,,,,,,,,,
-0.039126,0.44357,-0.787218,0.024977,0.258695,-0.675749,-0.039126,0.086858,0.021791,0.44357,-1.063114,-0.787218,,,,,,,,,,
-0.056949,0.462736,-0.787829,0.019899,0.275664,-0.646811,-0.056949,0.086858,0.035464,0.462736,-1.063114,-0.787218,,,,,,,,,,
-0.058048,0.466154,-0.789782,0.014832,0.292132,-0.618342,-0.058048,0.086858,0.049991,0.466154,-1.063114,-0.787218,,,,,,,,,,
-0.05817,0.468229,-0.792102,0.009766,0.307978,-0.589953,-0.05817,0.086858,0.075627,0.468229,-1.063114,-0.787218,,,,,,,,,,
-0.058292,0.469084,-0.798694,0.00362,0.321504,-0.563328,-0.058292,0.086858,0.083318,0.469084,-1.063114,-0.787218,,,,,,,,,,
-0.054996,0.488616,-0.822011,-0.003314,0.334835,-0.537942,-0.058292,0.086858,0.11396,0.488616,-1.054935,-0.787218,,,,,,,,,,
-0.050235,0.465666,-0.841543,-0.010169,0.345566,-0.516541,-0.058292,0.050113,0.211988,0.488616,-0.968016,-0.787218,,,,,,,,,,
-0.042178,0.451505,-0.858634,-0.014784,0.351157,-0.505481,-0.058292,0.037173,0.211988,0.488616,-0.941403,-0.787218,,,,,,,,,,
-0.032045,0.439297,-0.885247,-0.017823,0.357053,-0.498022,-0.058292,0.037173,0.211988,0.488616,-0.941403,-0.787218,,,,,,,,,,
-0.0329,0.425258,-0.896478,-0.020631,0.36201,-0.492248,-0.058292,0.037173,0.211988,0.488616,-0.941403,-0.787218,,,,,,,,,,
-0.086736,0.389245,-0.852774,-0.026234,0.362937,-0.488116,-0.086736,0.037173,0.211988,0.488616,-0.941403,-0.787218,,,,,,,,,,
-0.061588,0.34078,-0.939816,-0.031172,0.362974,-0.488,-0.086736,0.030947,0.211988,0.488616,-0.939816,-0.787218,,,,,,,,,,
-0.031801,0.299029,-0.960081,-0.03431,0.364189,-0.488311,-0.086736,0.006287,0.265824,0.488616,-0.960081,-0.787218,,,,,,,,,,
-0.003479,0.337484,-0.961057,-0.034578,0.367503,-0.488934,-0.086736,0.006287,0.299029,0.488616,-0.961057,-0.787218,,,,,,,,,,
-0.002991,0.390466,-0.894281,-0.034542,0.370762,-0.487597,-0.086736,0.006287,0.299029,0.488616,-0.961057,-0.787218,,,,,,,,,,
-0.025209,0.403284,-0.847647,-0.035549,0.372142,-0.486077,-0.086736,0.006287,0.299029,0.488616,-0.961057,-0.787218,,,,,,,,,,
-0.031313,0.386925,-0.847037,-0.036989,0.372136,-0.485387,-0.086736,0.006287,0.299029,0.488616,-0.961057,-0.787218,,,,,,,,,,
0.023744,0.376915,-0.817494,-0.036117,0.375011,-0.479442,-0.086736,0.023744,0.299029,0.488616,-0.961057,-0.787218,,,,,,,,,,
0.05524,0.417201,-0.762803,-0.033248,0.381524,-0.467552,-0.086736,0.05524,0.299029,0.488616,-0.961057,-0.762803,,,,,,,,,,
0.05878,0.536959,-0.668315,-0.029415,0.393506,-0.447037,-0.086736,0.05878,0.299029,0.536959,-0.961057,-0.668315,,,,,,,,,,
0.052188,0.590063,-0.601904,-0.024849,0.405396,-0.425881,-0.086736,0.05878,0.299029,0.590063,-0.961057,-0.601904,,,,,,,,,,
0.035219,0.612403,-0.574071,-0.020241,0.417488,-0.403101,-0.086736,0.05878,0.299029,0.612403,-0.961057,-0.574071,,,,,,,,,,
