gx,gy,gz,avgx,avgy,avgz,minx,maxx,miny,maxy,minz,maxz,,,,,,,,,,,
0.003968,0.97766,0.193676,0.006433,0.979943,1.172307,0.002014,0.012879,0.967039,0.979857,0.187939,0.197095,,,,,,,,,,,
0.00531,0.976317,0.196606,0.006263,0.980162,1.172746,0.002014,0.012879,0.967039,0.979857,0.187939,0.197095,,,,,,,,,,,
0.007264,0.971922,0.191479,0.006354,0.98015,1.172795,0.002014,0.012879,0.967039,0.979857,0.187939,0.197095,,,,,,,,,,,
0.004944,0.975218,0.192944,0.00622,0.979967,1.172532,0.002014,0.012879,0.967039,0.979857,0.187939,0.197095,,,,,,,,,,,
0.010193,0.974974,0.192456,0.006348,0.980248,1.172819,0.002014,0.012879,0.967039,0.979857,0.187939,0.197095,,,,,,,,,,,
0.005677,0.984496,0.196972,0.006226,0.980529,1.173405,0.002014,0.012879,0.967039,0.984496,0.187939,0.197095,,,,,,,,,,,
0.00531,0.972288,0.185985,0.006031,0.980303,1.17288,0.002014,0.012879,0.967039,0.984496,0.185985,0.197095,,,,,,,,,,,
0.005921,0.953488,0.196972,0.006092,0.979552,1.172459,0.002014,0.012879,0.953488,0.984496,0.185985,0.197095,,,,,,,,,,,
0.012879,0.976683,0.194531,0.006421,0.980333,1.173448,0.002014,0.012879,0.953488,0.984496,0.185985,0.197095,,,,,,,,,,,
0.003235,0.980834,0.187695,0.006287,0.980571,1.173485,0.002014,0.012879,0.953488,0.984496,0.185985,0.197095,,,,,,,,,,,
0.007508,0.963865,0.188061,0.006317,0.980174,1.172972,0.002014,0.012879,0.953488,0.984496,0.185985,0.197095,,,,,,,,,,,
0.004578,0.971068,0.193676,0.006165,0.979973,1.172648,0.002014,0.012879,0.953488,0.984496,0.185985,0.197095,,,,,,,,,,,
-0.000549,0.98059,0.197095,0.005872,0.979717,1.172618,-0.000549,0.012879,0.953488,0.984496,0.185985,0.197095,,,,,,,,,,,
0.005677,0.983275,0.198071,0.005884,0.98015,1.173332,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.008729,0.965696,0.190502,0.006177,0.979998,1.173137,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.00763,0.976195,0.191235,0.006189,0.980211,1.173228,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.010193,0.965086,0.196728,0.006324,0.979869,1.172996,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.007264,0.973265,0.197339,0.006043,0.9799,1.173497,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.005555,0.978026,0.193066,0.00622,0.980101,1.173711,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.006775,0.97473,0.194897,0.006403,0.980187,1.173686,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.009705,0.968016,0.190014,0.00669,0.979992,1.173308,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.009217,0.971068,0.191723,0.006885,0.979924,1.172996,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.00238,0.978148,0.195141,0.006641,0.979992,1.173247,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.004212,0.977782,0.191601,0.006604,0.980083,1.173271,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.006043,0.970091,0.191479,0.006397,0.979631,1.172771,-0.000549,0.012879,0.953488,0.984496,0.185985,0.198071,,,,,,,,,,,
0.006531,0.970701,0.193432,0.00644,0.978984,1.171947,-0.000549,0.012879,0.953488,0.983275,0.185985,0.198071,,,,,,,,,,,
0.008606,0.969969,0.193066,0.006604,0.979033,1.172349,-0.000549,0.012879,0.953488,0.983275,0.187695,0.198071,,,,,,,,,,,
0.007996,0.972288,0.189892,0.006708,0.980077,1.173039,-0.000549,0.012879,0.963865,0.983275,0.187695,0.198071,,,,,,,,,,,
0.006409,0.97119,0.1927,0.006385,0.979479,1.17235,-0.000549,0.010193,0.963865,0.983275,0.187695,0.198071,,,,,,,,,,,
0.006897,0.970945,0.194287,0.006568,0.979167,1.172368,-0.000549,0.010193,0.963865,0.983275,0.188061,0.198071,,,,,,,,,,,
0.006409,0.974364,0.188915,0.006513,0.979637,1.17288,-0.000549,0.010193,0.965086,0.983275,0.188915,0.198071,,,,,,,,,,,
0.006165,0.980101,0.193066,0.006592,0.980168,1.173381,-0.000549,0.010193,0.965086,0.983275,0.188915,0.198071,,,,,,,,,,,
0.007752,0.973997,0.195385,0.007007,0.980254,1.173381,0.00238,0.010193,0.965086,0.983275,0.188915,0.198071,,,,,,,,,,,
0.007752,0.967771,0.193798,0.007111,0.979582,1.172496,0.00238,0.010193,0.965086,0.980101,0.188915,0.197339,,,,,,,,,,,
0.005432,0.979369,0.19685,0.006946,0.980101,1.173332,0.00238,0.010193,0.965086,0.980101,0.188915,0.197339,,,,,,,,,,,
0.006165,0.975584,0.190991,0.006873,0.979997,1.173216,0.00238,0.010193,0.965086,0.980101,0.188915,0.197339,,,,,,,,,,,
0.006653,0.974364,0.192944,0.006696,0.980284,1.173314,0.00238,0.009705,0.967771,0.980101,0.188915,0.197339,,,,,,,,,,,
0.009095,0.973997,0.195385,0.006787,0.980412,1.173344,0.00238,0.009705,0.967771,0.980101,0.188915,0.19685,,,,,,,,,,,
0.009827,0.967527,0.192822,0.007001,0.980101,1.173021,0.00238,0.009827,0.967527,0.980101,0.188915,0.19685,,,,,,,,,,,
0.006043,0.977171,0.192822,0.006964,0.980187,1.173002,0.00238,0.009827,0.967527,0.980101,0.188915,0.19685,,,,,,,,,,,
0.00763,0.96472,0.193188,0.006861,0.979918,1.172892,0.00238,0.009827,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.004944,0.972655,0.192089,0.006647,0.979784,1.172776,0.00238,0.009827,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.012879,0.965574,0.190502,0.007172,0.97968,1.172441,0.004212,0.012879,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.004822,0.969603,0.192211,0.007203,0.979302,1.172093,0.004822,0.012879,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.003235,0.974852,0.192333,0.007062,0.979399,1.172233,0.003235,0.012879,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.003968,0.969358,0.190502,0.006934,0.979204,1.171891,0.003235,0.012879,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.004822,0.972777,0.194531,0.006745,0.979155,1.171916,0.003235,0.012879,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.006531,0.970213,0.191113,0.006671,0.978978,1.1718,0.003235,0.012879,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.005555,0.969969,0.19392,0.006629,0.978874,1.171757,0.003235,0.012879,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.008851,0.974486,0.193798,0.006727,0.979149,1.172007,0.003235,0.012879,0.96472,0.980101,0.188915,0.19685,,,,,,,,,,,
0.004944,0.972777,0.191113,0.006653,0.978997,1.171965,0.003235,0.012879,0.96472,0.980101,0.190502,0.19685,,,,,,,,,,,
0.004212,0.969847,0.187817,0.006556,0.978386,1.171092,0.003235,0.012879,0.96472,0.979369,0.187817,0.19685,,,,,,,,,,,
0.006165,0.972777,0.194775,0.006476,0.978246,1.170921,0.003235,0.012879,0.96472,0.979369,0.187817,0.19685,,,,,,,,,,,
0.009339,0.973021,0.193432,0.006556,0.978588,1.171245,0.003235,0.012879,0.96472,0.979369,0.187817,0.19685,,,,,,,,,,,
0.004822,0.977293,0.191845,0.006525,0.978453,1.17086,0.003235,0.012879,0.96472,0.977293,0.187817,0.195385,,,,,,,,,,,
0.005799,0.967771,0.194287,0.006507,0.978044,1.170616,0.003235,0.012879,0.96472,0.977293,0.187817,0.195385,,,,,,,,,,,
0.00531,0.973875,0.194897,0.00644,0.977953,1.170622,0.003235,0.012879,0.96472,0.977293,0.187817,0.195385,,,,,,,,,,,
0.00702,0.973753,0.191357,0.006336,0.977837,1.170305,0.003235,0.012879,0.96472,0.977293,0.187817,0.194897,,,,,,,,,,,
0.007508,0.973875,0.191967,0.00622,0.978038,1.170463,0.003235,0.012879,0.96472,0.977293,0.187817,0.194897,,,,,,,,,,,
0.005188,0.977416,0.187328,0.006177,0.978008,1.170158,0.003235,0.012879,0.96472,0.977416,0.187328,0.194897,,,,,,,,,,,
0.006165,0.969481,0.190502,0.006104,0.978173,1.170189,0.003235,0.012879,0.965574,0.977416,0.187328,0.194897,,,,,,,,,,,
0.006287,0.979857,0.195874,0.006171,0.9786,1.170805,0.003235,0.012879,0.965574,0.979857,0.187328,0.195874,,,,,,,,,,,
0.006043,0.971922,0.193066,0.005829,0.978575,1.170909,0.003235,0.009339,0.967771,0.979857,0.187328,0.195874,,,,,,,,,,,
0.003601,0.970457,0.186474,0.005768,0.978557,1.170604,0.003235,0.009339,0.967771,0.979857,0.186474,0.195874,,,,,,,,,,,
0.010926,0.976927,0.199414,0.006153,0.979045,1.171446,0.003601,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.008851,0.969847,0.194531,0.006397,0.979314,1.171916,0.003601,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
0.002014,0.97534,0.1927,0.006257,0.979302,1.171812,0.002014,0.010926,0.967771,0.979857,0.186474,0.199414,,,,,,,,,,,
